CK704,Occupational Therapy                                 ,601,*
CK705,Speech and Language Therapy                          568      ,566,*
CK706,Public Health Sciences                               ,500,
CK707,Medical and Health Sciences                          ,578,*
CK710,General Nursing                                      498*     ,497,*
CK712,Children`s and General Nursing (Integrated)          ,565,
CK720,Mental Health Nursing                                455      ,452,
CK730,Intellectual Disability Nursing                      ,431,
CK740,Midwifery                                            ,509,*
AC120,International Business                               294      ,294,
AC137,Liberal Arts                                         271      ,270,
CT125,Computing and IT                                     242      ,242,
CT325,Business                                             253      ,253,
CM001,Education - Primary Teaching                         ,508,
CM002,Education - Primary Teaching - Gaeltacht Applicant   #,462,
